Epoch,Start Timestamp,Lock Timestamp,Close Timestamp,Lock Price,Close Price,Lock Oracle ID,Close Oracle ID,Total Amount,Bull Amount,Bear Amount,Reward Base Cal Amount,Reward Amount,Oracle Called,Pattern,Latest Price,Trading Volume
160159,1680591541,1680591841,1680592147,310.6,311.1,36893488147420650867,36893488147420650898,8.93,3,5,3.88,8.66,True,Bull,313.12,8
160160,1680591847,1680592147,1680592453,311.1,310.9,36893488147420650898,36893488147420650928,6.93,4,2,2.63,6.72,True,Bear,313.12,6
160161,1680592153,1680592453,1680592762,310.9,310.71,36893488147420650928,36893488147420650958,13.16,6,6,6.83,12.77,True,Bear,313.12,12
160162,1680592462,1680592762,1680593071,310.71,310.58,36893488147420650958,36893488147420650989,9.11,3,5,5.53,8.84,True,Bear,313.12,8
160163,1680592771,1680593071,1680593377,310.58,310.43,36893488147420650989,36893488147420651020,10.01,4,5,5.38,9.71,True,Bear,313.12,9
160165,1680593386,1680593686,1680593993,310.33,310.27,36893488147420651050,36893488147420651081,9.41,4,4,4.74,9.13,True,Bear,313.12,8
160164,1680593077,1680593377,1680593686,310.43,310.33,36893488147420651020,36893488147420651050,9.84,4,4,4.86,9.55,True,Bear,313.12,8
160167,1680593999,1680594299,1680594605,309.91,310.13,36893488147420651111,36893488147420651142,17.37,6,10,6.47,16.84,True,Bull,313.12,16
160166,1680593693,1680593993,1680594299,310.27,309.91,36893488147420651081,36893488147420651111,7.44,3,3,3.66,7.22,True,Bear,313.12,6
160168,1680594305,1680594605,1680594911,310.13,310.07,36893488147420651142,36893488147420651172,6.02,3,2,2.34,5.84,True,Bear,313.12,5
160169,1680594611,1680594911,1680595217,310.07,309.83,36893488147420651172,36893488147420651203,16.53,8,8,8.4,16.03,True,Bear,313.12,16
160170,1680594917,1680595217,1680595523,309.83,309.84,36893488147420651203,36893488147420651233,7.19,3,3,3.65,6.98,True,Bull,313.12,6
160171,1680595223,1680595523,1680595829,309.84,309.9,36893488147420651233,36893488147420651262,9.6,4,5,4.34,9.31,True,Bull,313.12,9
160172,1680595529,1680595829,1680596135,309.9,309.9,36893488147420651262,36893488147420651292,11.42,5,5,5.47,11.08,True,Bear,313.12,10
160173,1680595835,1680596135,1680596439,309.9,309.9,36893488147420651292,36893488147420651323,14.92,8,6,6.86,14.47,True,Bear,313.12,14
160174,1680596139,1680596439,1680596745,309.9,310.44,36893488147420651323,36893488147420651352,8.6,4,3,4.79,8.34,True,Bull,313.12,7
160175,1680596445,1680596745,1680597048,310.44,310.11,36893488147420651352,36893488147420651382,15.55,9,6,6.39,15.08,True,Bear,313.12,15
160176,1680596748,1680597048,1680597354,310.11,310.02,36893488147420651382,36893488147420651413,10.6,5,5,5.02,10.28,True,Bear,313.14,10
